City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,afaahiti,-17.75,-149.2833,27.93,80,72,8.98,PF,1711837839
1,hammerfest,70.6634,23.6821,-4.75,86,100,4.12,NO,1711837701
2,puerto natales,-51.7236,-72.4875,5.65,87,50,4.15,CL,1711837745
3,tiksi,71.6872,128.8694,-13.99,79,100,6.02,RU,1711837745
4,edinburgh of the seven seas,-37.0676,-12.3116,14.42,62,89,0.57,SH,1711837745
5,olonkinbyen,70.9221,-8.7187,-6.11,64,100,9.9,SJ,1711837745
6,nuuk,64.1835,-51.7216,-2.66,74,20,3.6,GL,1711837638
7,mar del plata,-38.0023,-57.5575,18.01,48,0,6.71,AR,1711837303
8,bilibino,68.0546,166.4372,-25.12,93,69,1.85,RU,1711837746
9,falenki,58.3613,51.5946,1.25,100,100,3.59,RU,1711837746
10,georgetown,5.4112,100.3354,27.75,90,20,1.54,MY,1711837703
11,fortuna,40.5982,-124.1573,16.63,65,20,5.14,US,1711837746
12,gemena,3.25,19.7667,25.94,56,87,1.1,CD,1711837746
13,thompson,55.7435,-97.8558,-5.91,68,75,4.63,CA,1711837447
14,port-aux-francais,-49.35,70.2167,5.32,89,100,9.12,TF,1711837747
15,launceston,-41.45,147.1667,16.8,77,75,0.0,AU,1711837548
16,saipan,15.1355,145.701,28.39,74,40,7.2,MP,1711837747
17,wewak,-3.5534,143.6268,26.57,87,100,1.87,PG,1711837747
18,port elizabeth,-33.918,25.5701,19.5,95,0,4.12,ZA,1711837747
19,port augusta,-32.5,137.7667,22.33,65,36,3.79,AU,1711837451
20,adamstown,-25.066,-130.1015,23.52,59,100,11.86,PN,1711837747
21,murun-kuren,49.6342,100.1625,3.32,67,100,0.82,MN,1711837747
22,hawaiian paradise park,19.5933,-154.9731,25.73,75,0,4.12,US,1711837748
23,nyagan,62.1406,65.3936,-15.83,94,15,0.76,RU,1711837748
24,malango,-2.9627,119.9001,19.54,97,89,1.08,ID,1711837748
25,sinan,34.8262,126.1086,5.06,67,45,6.36,KR,1711837748
26,port mathurin,-19.6833,63.4167,26.64,85,100,3.5,MU,1711837748
27,chibougamau,49.9168,-74.3659,-6.21,68,100,6.69,CA,1711837748
28,tromso,69.6496,18.957,-1.99,69,75,4.63,NO,1711837748
29,yellowknife,62.456,-114.3525,-4.71,42,75,3.6,CA,1711837749
30,lebu,-37.6167,-73.65,13.66,75,100,10.08,CL,1711837749
31,ribeira grande,38.5167,-28.7,13.21,80,100,4.02,PT,1711837749
32,waitangi,-43.9535,-176.5597,15.46,97,100,3.13,NZ,1711837749
33,bredasdorp,-34.5322,20.0403,19.56,76,24,1.96,ZA,1711837749
34,al ghayzah,16.2079,52.176,25.83,58,89,3.24,YE,1711837749
35,kingston,17.997,-76.7936,30.53,59,40,4.12,JM,1711837714
36,ilulissat,69.2167,-51.1,-9.99,73,20,0.0,GL,1711837750
37,bel ombre,-4.6167,55.4167,28.91,79,20,2.06,SC,1711837750
38,iqaluit,63.7506,-68.5145,-6.15,79,100,2.06,CA,1711837653
39,udachny,66.4167,112.4,-18.71,98,100,4.6,RU,1711837750
40,tosontsengel,48.7567,98.2839,-4.95,89,100,0.21,MN,1711837750
41,tsiombe,-25.3,45.4833,22.31,88,25,3.91,MG,1711837750
42,yueyang,29.3333,113.0919,18.84,89,91,4.61,CN,1711837751
43,mhamid,29.82,-5.72,17.02,51,0,10.21,MA,1711837751
44,bethel,41.3712,-73.414,14.45,34,0,6.69,US,1711837474
45,hermanus,-34.4187,19.2345,21.13,66,9,3.91,ZA,1711837751
46,west island,-12.1568,96.8225,26.99,74,50,6.69,CC,1711837751
47,illizi,26.4833,8.4667,24.89,9,18,2.2,DZ,1711837751
48,maintirano,-18.0667,44.0167,26.64,78,10,4.01,MG,1711837751
49,shasta lake,40.6804,-122.3708,14.19,59,96,1.15,US,1711837473
50,anadyr,64.75,177.4833,-18.72,77,40,4.0,RU,1711837752
51,coquimbo,-29.9533,-71.3436,16.85,88,75,4.12,CL,1711837325
52,phalodi,27.1333,72.3667,23.25,29,14,4.73,IN,1711837752
53,cill airne,52.05,-9.5167,5.29,96,59,2.53,IE,1711837752
54,rio brilhante,-21.8019,-54.5464,29.9,47,78,2.4,BR,1711837752
55,ghanzi,-21.5667,21.7833,21.45,56,100,1.66,BW,1711837752
56,al jumum,21.6169,39.6981,25.84,70,1,2.55,SA,1711837753
57,verkhnevilyuysk,63.4453,120.3167,-28.59,100,67,1.37,RU,1711837753
58,stanley,54.868,-1.6985,5.95,89,0,1.03,GB,1711837671
59,grytviken,-54.2811,-36.5092,0.87,84,74,6.78,GS,1711837753
60,hamilton,39.1834,-84.5333,24.35,48,40,10.8,US,1711837464
61,jamestown,42.097,-79.2353,5.01,98,100,1.54,US,1711837323
62,bashtanka,47.4072,32.4387,9.96,72,31,3.84,UA,1711837753
63,talnakh,69.4865,88.3972,-10.01,96,100,2.21,RU,1711837752
64,praya,14.9215,-23.5087,22.3,73,75,8.75,CV,1711837754
65,touros,-5.1989,-35.4608,26.37,85,100,1.41,BR,1711837754
